Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False
Charmander,Fire,None,39,52,43,60,50,65,1,False
Squirtle,Water,None,44,48,65,50,64,43,1,False
Pikachu,Electric,None,35,55,40,50,50,90,1,False
Gengar,Ghost,Poison,60,65,60,130,75,110,1,False
Snorlax,Normal,None,160,110,65,65,110,30,1,False
Articuno,Ice,Flying,90,85,100,95,125,85,1,True
Zapdos,Electric,Flying,90,90,85,125,90,100,1,True
Moltres,Fire,Flying,90,100,90,125,85,90,1,True
Raikou,Electric,None,90,85,75,115,100,115,2,True
Entei,Fire,None,115,115,85,90,75,100,2,True
Suicune,Water,None,100,75,115,90,115,85,2,True
Groudon,Ground,None,100,150,140,100,90,90,3,True
Kyogre,Water,None,100,100,90,150,140,90,3,True
Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,True
